age,gender,race,experience_years,education,skills_score,interview_score,hired
26,Female,Asian,1,Bachelor,83,98,0
50,Male,White,26,High School,51,37,0
40,Female,Black,17,Bachelor,61,43,0
31,Female,White,0,Bachelor,52,32,0
33,Female,Hispanic,16,PhD,67,53,0
25,Male,Black,0,High School,53,42,0
52,Female,White,31,Bachelor,61,72,0
39,Female,White,16,Bachelor,69,58,0
37,Male,White,18,Bachelor,83,80,1
57,Male,Black,35,High School,59,71,0
46,Female,White,23,Bachelor,83,60,0
44,Male,Black,19,Master,66,92,0
33,Female,White,13,Bachelor,77,55,0
55,Male,Black,27,Bachelor,98,47,1
57,Male,Asian,35,Bachelor,81,86,0
24,Female,Asian,0,Bachelor,91,36,0
30,Male,Asian,11,Bachelor,95,77,0
39,Male,White,17,Master,80,89,0
56,Male,White,35,PhD,73,62,1
55,Female,Black,33,Bachelor,78,32,0
35,Male,White,7,Bachelor,80,33,0
25,Male,White,0,Master,96,33,1
50,Female,White,30,Bachelor,83,71,0
36,Male,White,14,Bachelor,76,38,0
49,Female,White,30,High School,40,80,0
37,Male,Asian,16,Master,93,46,1
33,Female,White,8,Bachelor,54,46,0
26,Male,Black,1,Master,71,49,0
55,Female,White,33,Master,47,43,0
22,Male,Black,0,High School,72,51,0
53,Male,White,35,Master,57,81,0
47,Male,Hispanic,26,Master,84,56,0
38,Male,Hispanic,19,Bachelor,68,72,0
48,Male,White,21,High School,71,32,0
45,Male,Hispanic,26,High School,72,37,1
56,Female,Hispanic,35,Bachelor,44,39,0
47,Male,Asian,21,Bachelor,57,58,0
44,Male,Asian,24,Bachelor,87,69,0
43,Female,White,21,High School,97,94,0
25,Female,Black,0,Master,49,50,0
30,Male,White,9,Bachelor,75,53,1
25,Male,White,5,High School,72,89,1
28,Male,Hispanic,4,Bachelor,62,55,0
44,Female,White,25,Bachelor,79,38,0
23,Female,Asian,0,High School,44,49,0
45,Male,Asian,18,Bachelor,73,85,1
52,Female,Asian,30,High School,63,65,0
52,Female,Hispanic,30,Master,56,65,0
55,Female,White,30,Master,70,51,0
45,Female,White,25,Bachelor,46,30,0
47,Male,White,26,Master,56,98,1
37,Male,White,17,Master,67,66,1
34,Male,White,11,High School,77,42,1
36,Male,White,15,PhD,61,72,1
48,Male,Asian,24,Master,54,66,1
25,Female,Black,9,High School,76,54,0
37,Male,White,12,High School,54,50,1
51,Male,Black,35,High School,89,70,1
51,Male,White,29,High School,89,71,1
57,Female,White,30,Master,64,71,0
24,Male,Asian,6,Bachelor,92,31,0
43,Male,Black,21,Master,60,97,0
43,Male,Asian,23,Master,94,37,1
33,Male,White,14,Bachelor,77,90,1
42,Female,Asian,21,Bachelor,41,43,0
25,Female,Black,1,High School,66,50,0
52,Male,Black,32,Bachelor,88,53,0
52,Female,Black,30,Bachelor,71,79,0
44,Female,Asian,24,High School,60,74,0
41,Female,Black,12,High School,43,93,0
36,Male,Black,15,Master,83,93,0
44,Male,Hispanic,20,Bachelor,58,55,0
49,Male,Asian,31,Bachelor,41,61,1
37,Female,White,16,Bachelor,65,86,1
42,Male,Asian,20,Master,73,82,1
36,Male,White,15,Bachelor,53,62,1
38,Male,White,13,High School,54,81,1
34,Female,Black,16,PhD,59,47,0
40,Male,Hispanic,23,Bachelor,73,64,0
51,Female,Hispanic,30,High School,75,41,1
39,Female,White,21,Bachelor,58,80,1
35,Male,Black,11,Master,48,39,0
57,Female,White,32,High School,46,81,0
57,Male,Hispanic,35,Bachelor,69,63,1
41,Female,Hispanic,20,High School,52,96,0
40,Male,Black,16,PhD,66,68,0
28,Female,Asian,7,High School,83,37,0
25,Female,Asian,3,Bachelor,74,58,1
55,Female,Black,30,PhD,52,51,0
23,Female,White,2,High School,54,99,0
26,Male,White,6,PhD,85,90,1
31,Female,Black,9,PhD,95,72,0
53,Female,Black,34,Master,48,78,1
34,Female,White,8,High School,84,58,0
26,Male,Hispanic,5,Bachelor,62,60,1
31,Female,White,5,Master,93,82,0
31,Female,White,5,PhD,75,63,1
48,Female,Black,24,High School,92,67,0
42,Male,Black,17,Master,79,86,0
29,Female,Black,5,Bachelor,42,33,0
22,Male,White,0,High School,73,31,0
49,Female,White,29,Bachelor,58,41,0
35,Male,Black,12,Master,67,64,1
42,Female,Black,15,Bachelor,62,99,0
51,Female,White,32,Bachelor,79,50,1
42,Male,Asian,17,PhD,88,90,1
30,Female,White,7,Bachelor,84,64,0
38,Male,Black,17,Bachelor,46,77,1
26,Female,Asian,4,Bachelor,80,44,0
52,Female,White,33,Bachelor,51,44,0
40,Female,White,19,Bachelor,53,35,0
57,Female,Asian,32,PhD,85,97,1
54,Female,Black,35,Bachelor,54,51,0
34,Male,Black,12,Master,42,61,0
35,Male,Asian,12,High School,54,51,1
54,Female,Asian,34,High School,90,56,1
50,Female,Hispanic,28,Bachelor,63,44,0
57,Female,Black,35,High School,91,73,1
31,Female,White,16,Bachelor,85,38,0
52,Male,White,29,Bachelor,47,63,1
27,Female,White,4,High School,44,44,0
22,Male,Black,0,Bachelor,90,91,0
28,Male,White,9,Bachelor,43,74,0
48,Male,Hispanic,21,Bachelor,53,87,0
42,Male,Black,14,PhD,55,48,0
49,Male,Black,25,Bachelor,59,45,0
37,Male,White,10,Bachelor,63,37,1
44,Female,White,20,PhD,45,62,0
41,Male,White,20,Master,94,47,1
46,Male,White,21,High School,96,64,1
49,Male,White,22,High School,70,72,0
26,Male,Black,4,Bachelor,45,79,0
42,Male,Hispanic,22,Bachelor,74,32,1
39,Male,Hispanic,11,Master,54,88,1
27,Female,Black,7,Master,68,57,0
50,Female,White,30,Bachelor,42,75,0
40,Female,Asian,20,PhD,50,93,0
54,Male,Hispanic,35,Bachelor,42,99,1
22,Male,White,6,High School,67,76,0
24,Female,Asian,0,Master,49,43,0
42,Male,White,20,Bachelor,89,36,0
56,Male,Asian,32,Master,72,60,1
24,Male,Hispanic,2,PhD,87,80,1
46,Male,White,28,Bachelor,55,58,1
41,Male,Hispanic,14,Bachelor,98,44,0
55,Male,Black,30,Bachelor,49,54,0
42,Female,Hispanic,24,Bachelor,72,90,1
44,Male,White,25,Bachelor,75,70,0
27,Female,Asian,3,Bachelor,42,98,1
34,Female,White,14,Master,44,33,0
44,Female,White,23,Bachelor,51,86,1
30,Female,White,12,High School,96,60,0
38,Female,Hispanic,16,Bachelor,83,32,1
23,Male,Asian,4,Master,52,96,0
40,Male,Asian,25,Bachelor,63,79,0
40,Male,Hispanic,19,Bachelor,83,46,1
28,Female,White,6,Master,96,89,1
41,Female,White,21,Bachelor,71,95,1
30,Male,White,6,Bachelor,55,53,0
38,Female,White,23,Master,71,61,1
48,Male,White,26,High School,84,48,0
23,Female,White,0,PhD,76,95,0
57,Male,White,32,High School,95,89,1
40,Male,White,21,High School,75,95,1
38,Male,White,18,Master,60,44,0
26,Male,White,2,High School,86,64,0
39,Male,Hispanic,18,Master,51,98,0
28,Male,Asian,1,Master,90,56,1
38,Female,Hispanic,16,Master,60,36,0
57,Male,White,35,PhD,99,35,0
25,Male,White,8,Bachelor,90,62,0
46,Female,Asian,21,Master,60,87,0
26,Female,White,0,High School,82,78,1
51,Male,White,26,Bachelor,92,46,1
33,Male,White,6,Master,45,71,1
25,Male,White,7,Bachelor,48,69,0
45,Male,White,27,Bachelor,40,75,1
50,Female,White,28,Bachelor,51,99,0
30,Male,Black,11,Bachelor,97,97,0
25,Male,White,3,PhD,53,30,1
45,Female,White,22,High School,45,81,0
35,Male,Asian,12,Bachelor,40,64,0
26,Female,White,3,Master,61,98,0
39,Male,White,12,Bachelor,73,34,1
40,Female,Asian,18,High School,95,46,0
33,Male,White,10,Bachelor,50,82,0
39,Female,White,19,Bachelor,42,81,0
38,Female,White,16,High School,81,43,0
51,Male,White,28,Master,45,58,0
45,Female,Black,20,Bachelor,45,37,0
32,Female,Asian,10,PhD,59,30,0
56,Female,White,35,Master,60,58,0
44,Female,Black,18,Bachelor,41,65,0
38,Female,White,16,High School,65,80,1
22,Male,White,0,Bachelor,70,66,0
36,Male,Black,11,High School,65,98,0
53,Female,White,29,Master,95,82,1
30,Male,White,8,High School,71,81,0
36,Female,White,10,Bachelor,49,41,0
49,Female,White,28,Bachelor,62,81,0
45,Male,White,20,Bachelor,97,30,0
56,Male,Asian,35,High School,45,36,1
43,Female,White,28,Bachelor,62,46,0
48,Male,White,23,High School,67,72,1
40,Female,White,19,High School,88,46,1
33,Male,Asian,8,Bachelor,69,88,0
41,Female,Black,22,Master,53,32,0
22,Male,Black,0,Bachelor,76,58,1
42,Female,Asian,21,Bachelor,94,51,0
22,Male,Asian,0,Bachelor,71,67,0
31,Female,White,8,Bachelor,88,83,1
53,Male,Black,27,PhD,73,79,1
43,Female,Asian,23,High School,80,98,0
39,Female,Hispanic,14,Bachelor,83,59,0
53,Male,Hispanic,32,Master,90,52,1
48,Male,White,24,Master,61,76,1
49,Male,White,26,High School,70,50,0
39,Female,White,17,Bachelor,46,49,0
50,Female,Asian,25,Master,80,52,0
39,Male,White,17,High School,60,97,0
29,Male,White,11,Master,55,50,1
52,Male,Asian,27,Master,59,50,0
55,Female,White,35,Master,82,30,0
28,Male,Asian,10,High School,83,44,0
57,Female,White,32,Master,86,46,0
39,Male,White,12,Bachelor,89,80,0
30,Female,White,8,Master,58,92,0
30,Male,Asian,6,High School,87,43,0
29,Male,White,12,High School,71,88,1
56,Female,White,34,Bachelor,54,79,0
39,Female,Hispanic,14,High School,44,63,0
26,Female,White,0,Bachelor,50,35,0
35,Male,Black,16,Master,54,78,1
49,Male,Black,25,Bachelor,68,35,0
51,Female,White,29,Master,89,98,0
25,Female,Black,5,High School,84,36,0
41,Male,White,17,High School,43,80,1
46,Male,Black,23,High School,88,30,0
49,Male,White,26,Bachelor,75,42,1
33,Female,Black,13,Master,87,72,0
23,Male,White,2,High School,62,56,0
35,Male,Black,12,Bachelor,54,32,0
43,Male,White,21,Bachelor,85,87,1
52,Male,White,28,PhD,83,46,1
44,Male,White,17,High School,42,74,0
41,Male,White,19,High School,71,87,1
25,Male,Asian,8,High School,49,85,1
36,Female,White,11,Bachelor,79,83,0
45,Male,Hispanic,20,Bachelor,77,58,0
46,Male,Hispanic,21,Master,61,83,1
22,Female,Black,2,Bachelor,53,56,0
28,Female,White,7,Bachelor,56,74,0
52,Male,White,29,Bachelor,60,60,0
33,Male,Asian,8,High School,90,65,0
26,Male,White,4,Bachelor,87,90,0
33,Female,White,6,PhD,54,66,0
39,Female,Black,17,Master,97,96,0
23,Female,Asian,3,Master,54,65,0
31,Female,Asian,5,Master,40,34,0
36,Female,White,9,High School,63,75,0
51,Male,Black,33,High School,94,81,1
38,Male,White,14,High School,94,78,1
25,Female,White,6,Bachelor,51,35,0
28,Female,Asian,5,High School,49,39,0
52,Male,White,29,Bachelor,85,52,1
55,Female,White,34,Bachelor,81,46,0
27,Male,White,2,Master,81,73,1
55,Male,Asian,33,Master,91,70,1
36,Male,Asian,12,PhD,70,44,0
35,Male,Black,9,High School,50,73,0
27,Female,Asian,6,High School,93,87,1
53,Male,White,30,Bachelor,55,79,0
24,Female,White,1,Bachelor,48,81,0
24,Female,White,0,Bachelor,86,99,0
43,Female,White,25,Bachelor,53,97,0
43,Male,White,23,Bachelor,58,92,0
31,Male,Hispanic,11,Bachelor,70,87,1
24,Male,White,1,Bachelor,48,52,1
33,Female,White,5,Bachelor,75,73,0
50,Female,White,33,Bachelor,92,73,0
38,Male,White,15,Bachelor,78,81,0
28,Female,Hispanic,3,Bachelor,93,96,1
34,Male,White,13,High School,65,57,1
23,Female,White,4,Bachelor,47,96,0
25,Male,Asian,2,Master,63,47,1
31,Female,White,12,Master,47,56,0
45,Male,White,26,Bachelor,58,80,0
38,Female,White,12,High School,86,89,1
27,Female,Black,2,Bachelor,87,78,1
40,Female,Hispanic,20,Bachelor,69,44,1
26,Male,Asian,0,Bachelor,97,97,0
53,Male,White,30,Bachelor,61,44,1
31,Male,Asian,4,Bachelor,94,80,0
30,Male,White,6,Bachelor,48,77,1
48,Male,White,25,Master,97,30,0
34,Female,White,10,High School,97,36,0
40,Female,White,16,Master,83,82,0
42,Male,White,16,High School,87,60,0
45,Male,Black,29,High School,43,47,0
25,Male,Hispanic,8,PhD,76,41,0
45,Female,White,19,PhD,47,77,0
56,Male,White,35,High School,40,59,1
24,Female,White,0,Bachelor,67,36,0
25,Male,White,3,High School,45,32,0
56,Female,Black,33,Bachelor,86,92,0
52,Female,White,28,Master,75,35,0
46,Male,Asian,26,PhD,92,44,0
34,Female,White,12,Bachelor,50,72,0
25,Male,White,1,Bachelor,44,47,0
35,Female,White,9,Bachelor,89,51,1
34,Male,White,9,Bachelor,63,90,1
48,Female,White,21,Master,86,90,0
27,Female,Asian,5,Master,57,82,0
38,Female,White,12,Bachelor,59,55,0
57,Female,Black,34,Bachelor,67,69,0
56,Male,White,35,Bachelor,52,37,0
38,Male,White,19,High School,44,50,0
23,Male,White,0,Master,69,72,0
34,Male,Asian,11,Bachelor,40,50,0
23,Female,White,6,Bachelor,61,32,0
49,Male,Asian,28,Bachelor,57,60,1
47,Female,White,24,Master,85,56,0
43,Female,Asian,16,High School,44,56,0
24,Female,White,3,Master,70,86,1
56,Male,Black,35,Master,45,62,1
33,Female,Black,9,PhD,66,73,0
45,Female,Hispanic,23,Bachelor,95,72,1
26,Male,White,2,High School,64,60,0
41,Female,White,18,Bachelor,68,94,0
34,Female,White,4,Bachelor,67,46,0
33,Male,Asian,10,High School,55,44,0
34,Male,Black,14,Bachelor,93,63,0
31,Male,Asian,7,Bachelor,92,33,0
54,Male,White,32,Master,51,57,1
37,Male,White,12,High School,59,31,0
56,Male,White,35,Bachelor,57,46,0
24,Male,Hispanic,1,Master,73,87,1
26,Male,Black,1,Master,94,38,0
47,Female,Hispanic,28,Master,92,60,1
32,Male,White,12,Master,62,95,1
28,Female,Black,4,PhD,84,91,1
31,Male,Black,10,Bachelor,66,48,0
55,Male,White,34,Bachelor,88,84,0
24,Male,Asian,3,High School,56,57,0
29,Male,Hispanic,1,High School,87,79,1
52,Male,Hispanic,33,High School,60,94,0
32,Female,Asian,8,High School,89,32,1
28,Male,White,4,Bachelor,79,81,0
23,Female,White,8,High School,70,39,0
27,Female,Hispanic,5,High School,42,50,0
53,Male,White,29,Master,56,66,0
41,Male,Asian,12,High School,89,44,1
55,Female,Asian,35,Master,97,38,0
37,Male,Black,10,High School,65,73,0
46,Male,Hispanic,20,Master,62,68,1
33,Female,White,10,Master,45,34,0
28,Male,White,10,Bachelor,67,54,0
38,Female,White,18,Bachelor,47,85,0
32,Female,White,9,High School,94,93,1
27,Male,White,5,PhD,97,81,1
44,Male,White,20,Master,84,38,0
48,Male,Asian,26,Master,47,39,0
27,Male,Hispanic,5,Bachelor,58,39,1
23,Male,White,3,Bachelor,77,91,0
43,Female,White,23,Master,68,89,1
41,Male,Hispanic,20,Bachelor,62,48,1
46,Male,White,22,Bachelor,86,67,1
36,Female,White,16,High School,71,35,0
50,Female,White,27,PhD,49,44,1
29,Female,Black,3,High School,66,76,0
54,Male,White,30,High School,88,74,0
43,Female,Hispanic,21,Bachelor,40,34,0
26,Male,White,6,Master,78,82,1
39,Male,White,16,Bachelor,68,95,1
51,Male,White,25,High School,98,91,1
52,Female,White,30,High School,84,52,0
31,Male,Black,9,Master,42,73,0
36,Male,Asian,14,PhD,90,81,1
39,Male,Asian,19,Master,86,75,1
44,Male,Black,25,Bachelor,76,48,1
54,Female,Hispanic,30,Master,70,76,0
37,Female,Asian,13,Bachelor,50,81,1
56,Female,Asian,30,Bachelor,61,53,0
55,Male,White,35,Bachelor,57,46,0
49,Male,White,31,Bachelor,74,75,1
23,Male,White,0,Master,45,93,0
51,Male,Black,28,Bachelor,42,57,1
34,Male,White,16,Bachelor,44,79,0
37,Female,White,16,Bachelor,48,93,1
26,Male,Hispanic,5,High School,67,57,0
49,Male,Hispanic,23,Bachelor,58,85,1
41,Male,Hispanic,21,High School,67,88,0
45,Male,White,20,High School,66,34,1
48,Male,Black,22,Bachelor,52,83,0
51,Female,White,27,Bachelor,77,73,1
48,Female,White,24,Master,82,71,0
47,Female,White,24,Bachelor,92,86,0
28,Male,White,1,Master,60,76,0
26,Male,White,6,PhD,66,54,0
44,Male,Asian,25,Master,85,73,1
49,Male,White,21,Bachelor,45,44,1
55,Female,Asian,35,Bachelor,77,80,0
36,Male,Black,11,PhD,88,82,1
53,Male,White,33,Bachelor,50,63,1
47,Male,White,24,High School,86,37,1
52,Male,White,30,Bachelor,80,99,1
40,Female,Black,17,High School,92,50,0
30,Male,White,11,PhD,56,36,0
50,Male,White,24,Bachelor,95,85,0
25,Male,White,4,Bachelor,78,78,1
24,Male,Black,5,Bachelor,46,71,0
50,Female,Hispanic,30,Bachelor,69,52,0
32,Female,White,16,High School,60,81,0
54,Female,Asian,30,Bachelor,40,82,0
32,Female,Black,12,Master,64,45,0
48,Male,Hispanic,25,Bachelor,71,66,1
54,Female,Asian,35,Master,98,47,1
42,Male,Black,19,High School,96,49,1
52,Male,Black,28,High School,47,75,0
23,Female,Hispanic,4,High School,44,31,0
48,Male,White,24,Bachelor,69,92,0
57,Female,White,30,Master,90,32,0
32,Male,White,8,Master,47,75,0
39,Female,Asian,18,Bachelor,88,78,0
22,Female,Asian,4,Bachelor,58,30,0
56,Female,White,34,Master,83,51,0
56,Female,Black,35,High School,98,43,0
52,Female,White,25,High School,94,74,1
49,Male,White,25,PhD,69,35,1
22,Male,Hispanic,0,Bachelor,54,94,0
46,Male,White,23,PhD,75,50,1
41,Female,White,19,Bachelor,94,33,0
24,Male,Black,4,Master,83,32,0
23,Female,Asian,0,High School,66,59,1
39,Male,White,17,Bachelor,52,60,0
31,Male,Black,8,Bachelor,53,63,0
26,Female,Black,1,Bachelor,76,49,0
30,Male,White,7,High School,93,83,1
23,Male,White,0,Bachelor,87,54,1
55,Male,Black,32,High School,69,44,0
52,Female,White,30,Master,78,67,0
31,Female,Hispanic,9,Bachelor,86,52,1
33,Male,Asian,9,High School,52,81,0
57,Male,Hispanic,35,High School,97,95,0
42,Male,White,16,High School,55,86,0
27,Female,Hispanic,2,Bachelor,83,86,0
24,Female,White,10,High School,46,81,0
31,Male,White,5,Master,87,64,0
26,Male,White,0,High School,94,43,0
47,Male,White,27,High School,94,43,0
42,Female,Black,13,Master,66,62,0
47,Female,White,24,Master,84,81,0
47,Male,White,31,High School,94,30,0
29,Male,Black,2,Master,74,63,0
26,Male,White,0,Bachelor,54,48,0
36,Female,Black,9,Master,67,53,0
37,Male,White,17,Bachelor,74,33,1
22,Female,Asian,3,Bachelor,46,65,0
37,Female,Asian,13,PhD,89,87,0
24,Male,White,4,High School,85,61,0
52,Male,White,34,Bachelor,89,38,0
34,Male,White,17,Bachelor,90,96,0
37,Female,Asian,14,High School,85,49,1
42,Female,White,13,High School,59,91,0
23,Female,White,0,High School,71,87,0
48,Male,White,24,Bachelor,77,51,0
47,Male,White,24,Bachelor,79,96,1
46,Female,White,23,Bachelor,71,77,0
32,Female,Asian,13,High School,65,37,0
29,Male,White,10,Bachelor,97,44,1
29,Female,White,6,PhD,78,61,0
54,Female,Asian,35,Bachelor,59,82,0
28,Female,Asian,7,Bachelor,57,96,0
42,Female,White,20,Master,89,33,1
29,Female,White,9,Master,54,59,0
42,Female,White,20,Bachelor,91,42,0
41,Male,Hispanic,25,Master,61,50,1
29,Male,White,2,Bachelor,90,70,0
52,Female,Hispanic,28,Master,61,48,1
50,Male,Black,27,High School,92,77,0
30,Male,Black,9,Bachelor,60,92,0
36,Male,White,17,High School,41,49,0
51,Male,White,28,Master,79,93,1
47,Female,White,20,Bachelor,92,66,1
31,Female,White,11,High School,82,60,0
50,Male,Black,30,High School,57,47,0
37,Male,Hispanic,9,Master,62,49,0
57,Male,Black,34,Master,52,40,0
41,Female,Asian,14,Bachelor,80,73,0
43,Female,White,19,Bachelor,48,93,1
28,Male,White,3,Bachelor,88,63,1
44,Female,White,24,Bachelor,46,94,1
50,Female,Black,28,Master,80,84,0
37,Female,Hispanic,11,High School,93,30,0
49,Female,Black,29,Bachelor,40,67,0
52,Male,White,25,Bachelor,41,38,0
35,Female,White,13,Bachelor,43,46,0
54,Male,Black,29,Bachelor,53,81,0
30,Female,White,6,Bachelor,71,47,1
48,Female,Asian,27,High School,75,92,0
45,Female,Asian,24,Bachelor,41,62,1
34,Female,Black,16,High School,79,33,0
47,Male,White,24,High School,89,81,1
50,Male,White,28,High School,90,38,1
49,Female,White,25,Master,53,93,0
49,Female,White,27,Bachelor,59,59,1
29,Male,White,8,Bachelor,64,37,0
44,Male,Black,21,Master,81,34,0
50,Male,Black,22,Bachelor,88,92,0
26,Female,White,4,Bachelor,47,30,0
28,Female,White,7,Bachelor,67,44,0
57,Male,White,32,Bachelor,85,67,0
48,Male,White,22,Bachelor,60,71,1
23,Female,Asian,5,Bachelor,62,75,1
46,Female,White,25,Master,71,82,1
30,Male,White,7,Master,47,55,0
48,Female,White,22,High School,70,90,0
22,Male,Asian,0,High School,76,96,1
44,Male,Black,25,Bachelor,55,83,0
31,Female,White,9,Bachelor,79,51,1
46,Female,White,22,High School,81,55,1
24,Female,Asian,3,Master,66,89,0
27,Female,Hispanic,2,High School,79,68,1
27,Female,White,9,PhD,80,65,0
23,Male,Hispanic,5,Master,57,50,0
39,Male,Hispanic,15,Master,74,70,0
44,Male,Hispanic,20,High School,88,77,1
23,Male,Black,0,High School,91,55,0
33,Female,Black,6,Bachelor,54,92,0
43,Female,White,16,High School,92,65,1
41,Male,Asian,19,Bachelor,66,53,0
45,Male,Black,22,Bachelor,56,50,1
41,Female,Black,14,High School,79,47,0
22,Male,White,0,High School,41,44,0
22,Female,Asian,1,Master,88,35,0
38,Female,Asian,17,High School,89,72,1
22,Female,White,0,High School,70,60,1
51,Male,Asian,28,Bachelor,76,57,1
24,Male,Black,0,PhD,80,37,0
32,Female,Asian,12,Bachelor,80,58,0
45,Female,White,25,High School,73,50,1
43,Male,White,18,Bachelor,73,87,0
47,Female,Hispanic,22,Master,90,89,0
34,Male,White,10,Master,94,79,0
22,Female,Asian,0,Bachelor,98,60,0
45,Male,White,24,Bachelor,42,76,1
31,Female,White,8,Bachelor,56,63,0
56,Male,White,35,High School,53,31,0
45,Male,Black,19,Bachelor,53,96,1
49,Male,White,25,Master,85,81,0
57,Male,White,30,PhD,77,36,1
37,Female,White,11,Bachelor,74,48,1
37,Female,White,11,High School,40,44,0
38,Male,Hispanic,18,Bachelor,87,77,1
36,Male,Hispanic,11,Master,68,43,0
37,Female,White,15,Master,43,32,0
36,Female,Asian,12,High School,72,79,0
55,Female,White,29,Bachelor,56,83,0
32,Male,Black,9,Bachelor,67,35,0
22,Male,Asian,1,Bachelor,89,78,1
36,Female,Hispanic,10,Master,65,52,0
47,Male,White,27,Bachelor,47,49,1
25,Female,Asian,0,Master,73,89,0
26,Male,White,2,Bachelor,98,74,1
56,Female,Hispanic,35,Master,57,90,0
34,Male,White,10,Bachelor,70,85,0
31,Female,Black,9,Master,98,31,0
32,Male,Black,9,Bachelor,66,74,0
39,Female,Black,17,Bachelor,55,69,0
55,Male,White,25,High School,97,53,0
44,Female,Hispanic,16,Bachelor,49,58,0
28,Female,White,7,Bachelor,79,96,1
24,Female,Black,5,Bachelor,51,97,0
33,Female,White,8,PhD,61,95,0
28,Female,White,5,High School,55,83,0
47,Female,Black,25,Master,51,82,0
54,Male,White,34,PhD,50,78,1
36,Female,White,7,High School,59,61,0
23,Male,White,0,Bachelor,90,90,1
28,Male,White,5,Bachelor,40,71,1
53,Male,Asian,33,High School,66,30,0
25,Male,Hispanic,10,Bachelor,42,92,1
41,Female,White,18,PhD,51,64,0
57,Female,White,30,High School,69,80,1
53,Female,White,32,Bachelor,48,74,0
49,Male,White,30,Bachelor,92,94,1
34,Male,Black,12,Master,93,43,0
22,Male,Black,0,High School,76,32,1
56,Male,White,35,Bachelor,40,53,0
51,Male,White,30,Bachelor,81,94,1
57,Male,White,31,Bachelor,88,77,1
46,Male,Asian,25,PhD,43,39,0
37,Female,Hispanic,17,Master,54,42,0
40,Female,White,21,High School,90,43,0
22,Female,White,0,Bachelor,66,39,1
26,Female,Asian,2,Bachelor,47,69,0
43,Female,Hispanic,24,Bachelor,99,52,1
45,Male,White,19,Bachelor,99,84,1
57,Female,White,35,Bachelor,62,92,1
57,Female,White,30,Bachelor,54,71,0
25,Male,Black,6,PhD,66,95,1
57,Male,White,34,High School,70,76,1
39,Female,White,20,PhD,78,81,0
37,Male,Black,16,Bachelor,86,47,0
39,Female,White,13,Bachelor,47,47,0
43,Female,Asian,25,Master,69,53,0
23,Male,White,5,Bachelor,97,52,0
42,Male,White,22,Bachelor,94,41,1
57,Male,Black,32,Bachelor,81,52,0
50,Male,White,27,Bachelor,57,50,0
47,Male,Hispanic,25,PhD,43,93,1
42,Female,Black,17,Master,86,63,0
38,Male,White,21,High School,82,31,0
37,Male,Asian,15,High School,61,98,1
52,Male,White,21,Bachelor,42,60,1
30,Female,Hispanic,9,High School,54,97,0
52,Male,White,28,Bachelor,74,99,0
35,Male,Black,12,High School,86,48,1
23,Female,White,0,Bachelor,77,42,1
35,Female,White,15,High School,72,94,0
54,Male,Asian,35,Bachelor,53,35,1
56,Female,Asian,34,Bachelor,87,56,0
41,Male,White,17,Bachelor,40,81,1
23,Male,White,0,PhD,92,77,1
40,Male,Asian,18,Master,88,97,1
39,Male,Hispanic,14,Bachelor,65,73,1
37,Female,White,16,High School,47,46,1
25,Male,White,4,Master,89,67,0
33,Male,White,15,Master,55,39,0
50,Female,Asian,31,Master,77,83,1
28,Female,White,3,High School,49,35,0
35,Male,White,15,PhD,81,35,1
33,Female,Asian,8,Bachelor,76,81,0
56,Male,White,35,Master,65,44,1
26,Female,White,2,Master,67,97,0
38,Female,White,12,High School,51,86,0
53,Female,White,31,Master,59,85,0
31,Male,White,0,Bachelor,88,36,1
38,Male,Black,10,PhD,53,80,0
26,Male,White,3,Bachelor,85,87,1
